customer_id,age_group,gender,region,customer_segment,preferred_channel,purchase_frequency,avg_order_value,total_spent,recency_days,website_visits,discount_usage_rate,email_open_rate,cart_abandonment_rate,loyalty_score,engagement_score,churn_risk,churn_flag
C003757,35-44,Female,Central,Returning,Online,1,87.96,75.87,220,3,0.18,0.14,0.53,91,30.5,Medium,0
C003758,18-24,Other,East,New,Online,2,268.16,492.11,175,13,0.07,0.37,0.63,67,37.0,Medium,1
C003759,55+,Female,Central,New,Mobile App,8,115.65,949.37,100,40,0.26,0.88,0.44,24,72.0,Low,0
C003760,35-44,Male,South,VIP,Mobile App,12,104.54,1465.66,226,64,0.63,0.23,0.29,79,47.0,Low,0
C003761,45-54,Male,East,Returning,In-Store,35,86.82,3002.23,58,244,0.48,0.1,0.41,51,34.5,Low,0
C003762,25-34,Other,South,Returning,Online,3,70.1,245.98,284,7,0.74,0.42,0.19,98,61.5,Medium,0
C003763,55+,Other,Central,Returning,Online,1,386.27,330.22,121,5,0.61,0.72,0.58,96,57.0,Low,0
C003764,25-34,Female,West,Loyal,In-Store,35,156.65,6054.54,84,78,0.21,0.12,0.14,81,49.0,Low,0
C003765,45-54,Male,North,Loyal,Online,3,246.65,659.4,135,19,0.48,0.47,0.25,91,61.0,Low,0
C003766,35-44,Other,South,VIP,Mobile App,5,153.65,892.77,327,34,0.44,0.31,0.12,55,59.5,High,1
C003767,18-24,Other,East,New,In-Store,5,62.11,283.85,359,33,0.14,0.19,0.3,85,44.5,High,1
C003768,25-34,Female,West,VIP,In-Store,3,135.95,467.16,15,15,0.25,0.55,0.11,44,72.0,Low,0
C003769,18-24,Other,Central,New,Online,60,134.61,9495.53,212,308,0.75,0.18,0.15,86,51.5,Low,0
C003770,25-34,Male,West,New,Online,12,133.74,1615.86,354,64,0.22,0.4,0.32,66,54.0,High,1
C003771,18-24,Male,Central,Loyal,In-Store,12,41.97,516.24,207,65,0.1,0.26,0.19,52,53.5,Medium,0
C003772,45-54,Male,Central,New,In-Store,35,100.84,3449.89,190,231,0.16,0.84,0.47,74,68.5,Medium,1
C003773,25-34,Male,West,Loyal,Mobile App,2,65.3,150.12,287,8,0.46,0.32,0.34,95,49.0,Medium,1
C003774,25-34,Male,North,Returning,In-Store,8,87.14,607.54,287,17,0.06,0.12,0.1,90,51.0,Medium,1
C003775,35-44,Male,East,VIP,Mobile App,1,80.37,90.03,327,4,0.45,0.31,0.46,69,42.5,High,1
C003776,55+,Female,South,New,In-Store,20,129.23,2632.47,27,77,0.22,0.87,0.78,89,54.5,Low,0
C003777,45-54,Other,West,Returning,Mobile App,1,296.6,278.65,48,4,0.45,0.13,0.51,39,31.0,Low,0
C003778,25-34,Female,Central,Loyal,Mobile App,2,302.76,712.17,42,12,0.09,0.49,0.38,28,55.5,Low,0
C003779,18-24,Male,North,Loyal,Mobile App,60,118.28,7256.03,195,360,0.2,0.67,0.45,11,61.0,Medium,1
C003780,18-24,Female,Central,Returning,In-Store,35,367.17,14911.72,189,257,0.62,0.44,0.67,10,38.5,High,1
C003781,35-44,Female,South,Returning,In-Store,8,392.19,3131.84,312,50,0.76,0.27,0.66,82,30.5,High,1
C003782,18-24,Male,South,Loyal,Mobile App,5,66.2,360.21,248,29,0.46,0.89,0.76,13,56.5,High,1
C003783,18-24,Male,North,Loyal,In-Store,2,320.51,649.98,190,13,0.39,0.14,0.32,91,41.0,Low,0
C003784,18-24,Male,Central,Loyal,Mobile App,12,236.13,2839.14,69,74,0.43,0.32,0.76,82,28.0,Low,0
C003785,55+,Female,North,Loyal,Mobile App,20,317.54,7212.47,219,80,0.67,0.09,0.06,77,51.5,Low,0
C003786,25-34,Other,North,VIP,In-Store,1,199.58,232.43,97,4,0.07,0.6,0.36,21,62.0,Low,0
C003787,55+,Female,South,VIP,Mobile App,8,33.75,251.54,292,24,0.32,0.69,0.7,87,49.5,High,1
C003788,55+,Other,West,Loyal,Mobile App,8,382.29,3539.25,136,27,0.75,0.69,0.27,69,71.0,Low,0
C003789,55+,Other,Central,VIP,Online,8,211.06,1607.08,82,29,0.16,0.62,0.41,94,60.5,Low,0
C003790,55+,Male,East,Loyal,Mobile App,3,219.57,574.89,173,9,0.3,0.68,0.58,90,55.0,Medium,0
C003791,45-54,Male,Central,Returning,In-Store,1,36.14,41.32,187,6,0.35,0.66,0.16,84,75.0,Low,0
C003792,55+,Female,North,New,Mobile App,1,196.51,179.25,113,3,0.79,0.34,0.28,65,53.0,Low,0
C003793,35-44,Other,Central,Returning,Online,1,126.66,130.06,300,5,0.44,0.53,0.85,25,34.0,High,1
C003794,25-34,Male,North,Returning,In-Store,12,357.95,4545.2,126,82,0.79,0.12,0.44,87,34.0,Low,0
C003795,25-34,Female,West,New,In-Store,35,243.63,9622.99,339,135,0.79,0.81,0.37,14,72.0,High,1
C003796,55+,Other,North,VIP,Online,5,369.74,2213.24,122,35,0.51,0.89,0.16,44,86.5,Low,0
C003797,45-54,Female,North,VIP,Online,12,280.95,3203.39,40,34,0.63,0.25,0.1,46,57.5,Low,0
C003798,45-54,Other,South,Returning,In-Store,20,383.12,7055.61,115,51,0.23,0.86,0.12,17,87.0,Low,0
C003799,55+,Other,South,Returning,In-Store,1,124.87,138.57,161,6,0.58,0.71,0.71,24,50.0,Medium,1
C003800,55+,Other,East,Returning,Mobile App,20,376.54,7601.11,276,49,0.2,0.41,0.76,63,32.5,High,1
C003801,25-34,Male,Central,Loyal,Online,8,154.02,1448.8,320,27,0.29,0.52,0.75,90,38.5,High,1
C003802,35-44,Other,West,New,Online,12,34.6,482.22,125,66,0.46,0.13,0.56,31,28.5,Low,0
C003803,55+,Female,Central,Loyal,Online,1,229.42,201.61,214,2,0.37,0.42,0.49,22,46.5,High,1
C003804,55+,Female,South,Loyal,Mobile App,1,270.82,318.4,15,2,0.41,0.44,0.39,39,52.5,Low,0
C003805,25-34,Other,West,Loyal,Online,20,383.37,8577.17,255,73,0.18,0.26,0.2,63,53.0,Medium,0
C003806,55+,Other,West,VIP,In-Store,1,216.68,208.31,264,4,0.4,0.16,0.83,19,16.5,High,1
C003807,45-54,Male,North,New,Mobile App,20,108.98,2158.63,266,112,0.4,0.38,0.18,29,60.0,High,1
C003808,45-54,Male,West,Returning,Online,5,239.55,1131.15,338,19,0.13,0.5,0.78,96,36.0,High,1
C003809,55+,Other,East,Loyal,Online,2,222.8,478.67,70,5,0.42,0.24,0.69,71,27.5,Low,0
C003810,35-44,Female,South,VIP,Mobile App,20,353.37,7831.99,144,70,0.64,0.22,0.82,27,20.0,Medium,1
C003811,25-34,Other,South,Loyal,Mobile App,2,216.05,464.57,66,11,0.57,0.72,0.52,12,60.0,Medium,0
C003812,35-44,Male,North,Returning,In-Store,1,188.62,180.86,305,5,0.26,0.57,0.32,75,62.5,High,1
C003813,25-34,Male,North,VIP,Mobile App,8,373.21,3183.54,240,36,0.61,0.24,0.72,25,26.0,High,1
C003814,45-54,Male,West,New,Online,2,303.71,636.89,107,8,0.18,0.3,0.14,20,58.0,Low,0
C003815,45-54,Male,Central,New,Online,3,357.7,1197.19,101,10,0.59,0.55,0.09,10,73.0,Low,0
C003816,25-34,Female,Central,New,Online,1,133.54,147.03,356,4,0.12,0.52,0.52,41,50.0,High,1
C003817,18-24,Other,West,New,Mobile App,5,100.79,510.07,173,12,0.63,0.6,0.18,42,71.0,Medium,0
C003818,35-44,Female,North,New,Mobile App,8,99.8,854.42,123,25,0.36,0.49,0.33,90,58.0,Low,0
C003819,35-44,Female,North,VIP,Online,5,106.22,615.42,246,31,0.37,0.8,0.36,46,72.0,Medium,1
C003820,55+,Other,South,VIP,Mobile App,35,129.56,5440.36,331,255,0.51,0.07,0.75,87,16.0,High,1
C003821,45-54,Male,South,Loyal,Online,8,107.49,846.52,221,30,0.71,0.19,0.26,83,46.5,Medium,0
C003822,35-44,Male,East,VIP,In-Store,20,95.63,1981.54,340,72,0.51,0.68,0.65,55,51.5,High,1
C003823,45-54,Female,Central,VIP,Online,20,238.81,5588.45,120,47,0.48,0.73,0.49,78,62.0,Low,0
C003824,18-24,Male,West,VIP,In-Store,8,189.73,1713.5,352,33,0.5,0.67,0.25,74,71.0,High,1
C003825,25-34,Male,Central,Loyal,Online,35,67.79,2050.78,113,196,0.47,0.62,0.35,62,63.5,Low,0
C003826,55+,Other,North,VIP,Mobile App,2,141.31,271.41,18,11,0.08,0.76,0.83,20,46.5,Low,0
C003827,45-54,Male,West,Returning,Mobile App,35,310.37,12371.52,21,178,0.72,0.38,0.12,38,63.0,Low,0
C003828,55+,Female,North,New,In-Store,12,339.31,4690.66,70,51,0.67,0.2,0.16,38,52.0,Low,0
C003829,55+,Female,Central,New,Online,12,200.79,2687.21,265,30,0.66,0.82,0.55,79,63.5,Medium,1
C003830,25-34,Female,South,Returning,Online,12,185.46,1952.64,111,27,0.08,0.21,0.13,33,54.0,Low,0
C003831,25-34,Female,East,Returning,Online,5,161.29,958.08,8,29,0.54,0.27,0.7,87,28.5,Low,0
C003832,35-44,Male,West,VIP,Mobile App,8,203.13,1664.51,98,30,0.74,0.23,0.74,50,24.5,Medium,0
C003833,18-24,Male,West,Returning,Online,35,202.23,6536.86,113,97,0.69,0.15,0.13,20,51.0,Low,0
C003834,18-24,Other,North,Returning,Online,35,225.55,7797.12,323,247,0.59,0.82,0.82,66,50.0,High,1
C003835,45-54,Male,North,VIP,Online,8,321.12,2424.25,172,49,0.79,0.82,0.47,67,67.5,Medium,0
C003836,55+,Male,East,VIP,In-Store,8,198.4,1847.4,187,49,0.7,0.29,0.62,36,33.5,High,1
C003837,55+,Female,Central,VIP,Online,8,154.41,1212.52,164,32,0.62,0.32,0.69,93,31.5,Medium,0
C003838,25-34,Female,South,New,Mobile App,8,244.38,2195.94,38,39,0.8,0.35,0.82,45,26.5,Low,0
C003839,55+,Female,East,Loyal,Mobile App,2,324.62,563.13,363,14,0.24,0.63,0.54,95,54.5,High,1
C003840,18-24,Other,South,Loyal,Online,3,191.62,573.24,64,12,0.55,0.51,0.09,43,71.0,Low,0
C003841,25-34,Female,West,New,Online,12,37.63,410.79,332,41,0.07,0.47,0.23,20,62.0,High,1
C003842,45-54,Female,East,New,Online,12,273.14,3727.34,185,47,0.31,0.8,0.62,96,59.0,Medium,0
C003843,45-54,Other,South,Loyal,Online,20,70.57,1563.24,29,127,0.55,0.8,0.78,57,51.0,Low,0
C003844,45-54,Other,West,New,Online,8,112.57,908.09,94,56,0.53,0.44,0.18,97,63.0,Low,0
C003845,45-54,Other,West,Returning,Online,20,214.77,4947.33,134,88,0.49,0.25,0.35,39,45.0,Low,0
C003846,18-24,Male,North,New,In-Store,20,396.18,7508.73,132,127,0.25,0.08,0.38,35,35.0,Low,0
C003847,55+,Male,Central,New,Mobile App,3,264.51,839.34,154,16,0.42,0.78,0.57,21,60.5,Medium,1
C003848,25-34,Other,East,VIP,Online,1,169.54,167.79,313,4,0.68,0.32,0.42,90,45.0,Medium,1
C003849,55+,Female,Central,VIP,Mobile App,60,129.92,6931.45,79,187,0.45,0.09,0.15,63,47.0,Low,0
C003850,55+,Male,West,VIP,Online,12,287.82,3947.7,158,65,0.5,0.72,0.81,94,45.5,Medium,0
C003851,55+,Male,South,Returning,Mobile App,3,38.85,134.36,141,22,0.55,0.78,0.12,64,83.0,Low,0
C003852,35-44,Male,West,Loyal,Online,8,182.51,1313.39,129,47,0.13,0.62,0.41,78,60.5,Low,0
C003853,55+,Other,West,New,In-Store,3,240.96,721.74,133,12,0.77,0.51,0.06,85,72.5,Low,0
C003854,55+,Other,Central,VIP,In-Store,8,139.53,1254.8,193,41,0.14,0.19,0.71,23,24.0,High,1
C003855,18-24,Female,West,New,In-Store,12,312.65,4227.43,235,79,0.53,0.31,0.8,92,25.5,Medium,1
C003856,45-54,Female,South,Returning,Online,12,282.38,3250.89,295,68,0.45,0.36,0.68,69,34.0,High,1
C003857,35-44,Female,North,Returning,Online,2,312.16,589.99,247,15,0.21,0.61,0.79,24,41.0,High,1
C003858,25-34,Male,South,Loyal,In-Store,35,127.39,4139.91,68,113,0.55,0.86,0.77,90,54.5,Low,0
C003859,25-34,Female,North,Loyal,Online,8,151.73,1093.12,139,31,0.68,0.09,0.79,87,15.0,Medium,0
C003860,35-44,Female,Central,New,Mobile App,5,295.6,1264.83,74,15,0.14,0.21,0.6,15,30.5,Low,0
C003861,35-44,Other,West,Returning,Mobile App,3,182.01,517.97,357,15,0.33,0.62,0.49,52,56.5,High,1
C003862,18-24,Other,Central,Returning,Online,3,380.01,1125.43,136,6,0.73,0.48,0.33,21,57.5,Medium,1
C003863,55+,Female,South,VIP,In-Store,20,212.67,4223.5,196,50,0.51,0.34,0.11,97,61.5,Low,0
C003864,55+,Other,North,Loyal,Online,20,176.66,3710.11,195,81,0.15,0.45,0.36,93,54.5,Low,0
C003865,45-54,Other,Central,Loyal,Mobile App,1,132.44,146.11,199,7,0.65,0.48,0.34,76,57.0,Medium,0
C003866,18-24,Male,South,New,In-Store,5,95.5,419.32,252,26,0.23,0.59,0.27,72,66.0,Medium,0
C003867,18-24,Other,Central,Returning,Mobile App,2,126.51,216.22,7,9,0.49,0.5,0.16,46,67.0,Low,0
C003868,55+,Other,West,Loyal,Mobile App,8,183.34,1656.54,37,43,0.21,0.77,0.42,61,67.5,Low,0
C003869,35-44,Female,South,Loyal,Mobile App,8,322.54,2529.1,167,32,0.76,0.83,0.49,45,67.0,Medium,0
C003870,55+,Other,Central,New,Mobile App,20,366.51,7425.22,31,136,0.27,0.84,0.81,78,51.5,Low,0
C003871,18-24,Female,East,VIP,Mobile App,3,152.81,413.89,241,21,0.42,0.4,0.54,52,43.0,Medium,1
C003872,55+,Female,Central,New,Mobile App,5,50.52,252.47,337,14,0.64,0.08,0.84,41,12.0,High,1
C003873,45-54,Female,North,Returning,Online,2,207.85,467.95,162,4,0.41,0.89,0.33,16,78.0,Medium,0
C003874,55+,Female,West,VIP,In-Store,2,113.87,250.31,22,7,0.48,0.32,0.43,14,44.5,Low,0
C003875,25-34,Other,Central,Returning,Online,20,385.54,8568.06,31,119,0.09,0.7,0.15,90,77.5,Low,0
C003876,55+,Female,West,VIP,Online,3,131.0,443.77,55,7,0.45,0.65,0.54,61,55.5,Low,0
C003877,55+,Other,North,VIP,In-Store,1,151.76,147.25,210,3,0.77,0.23,0.36,97,43.5,Medium,0
C003878,55+,Female,Central,VIP,Mobile App,20,152.07,3144.42,1,140,0.74,0.82,0.67,26,57.5,Low,0
C003879,25-34,Other,Central,VIP,Mobile App,60,296.73,18780.41,38,375,0.62,0.11,0.38,18,36.5,Low,0
C003880,45-54,Male,South,Loyal,Mobile App,35,121.08,3690.29,303,204,0.48,0.79,0.68,45,55.5,High,1
C003881,55+,Female,South,New,Mobile App,8,118.88,809.02,80,56,0.59,0.48,0.27,64,60.5,Low,0
C003882,55+,Other,East,New,In-Store,3,175.19,493.77,30,21,0.72,0.29,0.6,45,34.5,Low,0
C003883,25-34,Female,South,New,Mobile App,60,25.01,1764.08,318,441,0.3,0.5,0.57,46,46.5,High,1
C003884,35-44,Other,North,Loyal,In-Store,1,263.27,227.68,188,2,0.7,0.55,0.84,69,35.5,Medium,1
C003885,45-54,Female,Central,VIP,Mobile App,60,217.66,15656.34,3,240,0.71,0.49,0.37,47,56.0,Low,0
C003886,18-24,Other,North,New,Online,2,77.05,158.59,138,7,0.67,0.43,0.84,72,29.5,Medium,0
C003887,35-44,Male,Central,Loyal,In-Store,1,202.81,198.53,81,6,0.71,0.23,0.18,35,52.5,Low,0
C003888,35-44,Male,East,VIP,In-Store,1,238.6,225.73,132,2,0.53,0.55,0.23,76,66.0,Low,0
C003889,55+,Male,West,Returning,In-Store,2,375.1,774.71,113,7,0.11,0.07,0.47,10,30.0,Medium,0
C003890,55+,Male,East,Returning,Mobile App,12,202.71,2139.17,67,83,0.52,0.29,0.66,25,31.5,Medium,0
C003891,25-34,Other,Central,Loyal,In-Store,8,58.72,409.96,111,38,0.53,0.07,0.45,81,31.0,Low,0
C003892,25-34,Other,South,New,In-Store,12,297.3,3113.81,151,90,0.22,0.84,0.64,17,60.0,Medium,1
C003893,45-54,Female,South,New,Mobile App,12,210.01,2877.98,327,74,0.21,0.76,0.73,86,51.5,High,1
C003894,35-44,Other,South,Loyal,Mobile App,12,208.12,2471.46,82,83,0.24,0.1,0.5,43,30.0,Low,0
C003895,45-54,Female,South,VIP,Online,8,246.36,2259.08,232,33,0.41,0.81,0.63,38,59.0,Medium,1
C003896,55+,Female,South,Returning,Mobile App,5,99.35,586.92,49,38,0.58,0.8,0.36,30,72.0,Low,0
C003897,25-34,Other,East,Loyal,Online,12,68.4,829.15,124,86,0.65,0.32,0.12,64,60.0,Low,0
C003898,25-34,Male,Central,VIP,In-Store,5,294.63,1399.94,279,24,0.33,0.21,0.74,51,23.5,High,1
C003899,35-44,Other,North,VIP,Mobile App,5,31.95,158.88,57,14,0.19,0.45,0.32,62,56.5,Low,0
C003900,35-44,Other,West,Loyal,Online,3,103.1,271.68,132,20,0.46,0.18,0.26,15,46.0,Medium,1
C003901,55+,Female,East,Loyal,In-Store,8,22.03,166.07,40,28,0.77,0.54,0.82,86,36.0,Low,0
C003902,25-34,Male,North,Loyal,Mobile App,20,51.95,1139.19,76,96,0.15,0.07,0.16,49,45.5,Low,0
C003903,55+,Other,North,New,Online,8,298.29,2533.97,155,27,0.08,0.45,0.36,71,54.5,Low,0
C003904,45-54,Female,Central,Returning,Online,3,70.03,199.74,263,9,0.73,0.45,0.29,17,58.0,Medium,1
C003905,25-34,Other,Central,Loyal,Mobile App,5,59.19,351.88,229,23,0.19,0.47,0.17,35,65.0,Medium,1
C003906,25-34,Male,East,New,In-Store,1,68.0,67.92,240,5,0.63,0.25,0.62,50,31.5,High,1
C003907,25-34,Female,West,New,In-Store,8,270.11,1856.34,64,53,0.1,0.4,0.31,40,54.5,Low,0
C003908,35-44,Male,West,Loyal,In-Store,3,174.38,535.31,224,6,0.79,0.75,0.56,92,59.5,Medium,1
C003909,25-34,Male,North,Returning,In-Store,12,62.14,775.97,259,71,0.67,0.27,0.69,87,29.0,High,1
C003910,55+,Female,South,VIP,Mobile App,20,69.88,1546.95,56,144,0.28,0.89,0.73,91,58.0,Low,0
C003911,55+,Male,North,VIP,In-Store,8,35.33,314.66,285,58,0.27,0.17,0.07,57,55.0,Medium,1
C003912,35-44,Male,North,Loyal,Online,60,121.7,6222.49,362,274,0.41,0.75,0.38,96,68.5,High,1
C003913,18-24,Male,East,New,In-Store,5,110.44,487.03,338,24,0.77,0.76,0.63,12,56.5,High,1
C003914,25-34,Female,West,New,Mobile App,1,252.61,262.47,91,5,0.35,0.22,0.35,65,43.5,Low,0
C003915,55+,Female,Central,New,Mobile App,5,370.5,1606.21,240,16,0.36,0.09,0.52,48,28.5,High,1
C003916,25-34,Male,West,Loyal,In-Store,3,246.25,834.03,84,15,0.14,0.42,0.68,65,37.0,Low,0
C003917,25-34,Other,South,Loyal,In-Store,12,343.43,3690.66,112,24,0.64,0.8,0.19,30,80.5,Low,0
C003918,25-34,Female,South,VIP,In-Store,2,84.67,186.72,45,6,0.21,0.18,0.39,34,39.5,Low,0
C003919,18-24,Other,East,VIP,In-Store,20,104.09,2012.09,278,88,0.5,0.48,0.18,89,65.0,Medium,1
C003920,55+,Female,West,Loyal,Online,1,54.38,55.46,84,6,0.17,0.76,0.45,85,65.5,Low,0
C003921,25-34,Other,West,Loyal,Mobile App,3,254.09,779.28,48,23,0.21,0.45,0.23,68,61.0,Low,0
C003922,35-44,Other,East,Loyal,Mobile App,20,286.97,6156.25,2,109,0.56,0.75,0.56,27,59.5,Low,0
C003923,55+,Female,West,Loyal,Mobile App,1,371.3,318.82,267,3,0.46,0.2,0.31,83,44.5,Medium,1
C003924,55+,Male,East,Returning,In-Store,12,59.62,775.34,350,75,0.41,0.28,0.58,85,35.0,High,1
C003925,55+,Male,North,VIP,In-Store,1,366.89,416.68,20,4,0.27,0.76,0.76,77,50.0,Low,0
C003926,18-24,Male,South,New,Online,1,282.7,317.7,263,4,0.55,0.76,0.48,28,64.0,High,1
C003927,25-34,Female,East,Returning,Mobile App,5,166.82,760.04,245,30,0.37,0.8,0.6,97,60.0,Medium,1
C003928,25-34,Male,North,Returning,Mobile App,20,66.85,1241.29,132,99,0.21,0.49,0.08,47,70.5,Low,0
C003929,18-24,Female,East,New,Online,20,361.65,6291.71,120,132,0.36,0.25,0.72,84,26.5,Low,0
C003930,18-24,Female,East,VIP,Online,12,178.37,1850.8,76,38,0.12,0.08,0.38,44,35.0,Low,0
C003931,55+,Other,South,VIP,Mobile App,5,381.22,1932.08,83,17,0.71,0.9,0.28,51,81.0,Low,0
C003932,25-34,Female,North,Loyal,In-Store,2,216.77,378.98,140,12,0.23,0.17,0.76,97,20.5,Medium,1
C003933,55+,Other,Central,VIP,In-Store,5,291.7,1459.2,296,28,0.62,0.47,0.2,82,63.5,High,1
C003934,55+,Other,Central,VIP,Online,35,229.45,9249.52,141,174,0.56,0.21,0.48,16,36.5,Medium,0
C003935,45-54,Female,South,VIP,Mobile App,12,347.03,3987.24,252,74,0.08,0.72,0.45,21,63.5,High,1
C003936,45-54,Other,East,VIP,Online,1,147.58,140.53,29,6,0.57,0.76,0.47,42,64.5,Low,0
C003937,18-24,Female,South,Returning,In-Store,20,257.82,4992.11,97,106,0.09,0.08,0.1,43,49.0,Low,0
C003938,35-44,Male,South,Returning,Online,3,116.38,340.55,344,16,0.27,0.84,0.55,97,64.5,High,1
C003939,55+,Other,North,Returning,Online,1,191.12,220.71,202,6,0.23,0.72,0.28,12,72.0,Medium,1
C003940,18-24,Male,South,Returning,Mobile App,60,384.03,26039.18,88,212,0.32,0.81,0.45,36,68.0,Low,0
C003941,18-24,Other,East,New,Online,2,69.97,139.19,336,7,0.35,0.77,0.79,74,49.0,High,1
C003942,45-54,Male,North,Returning,In-Store,1,201.13,185.79,340,6,0.55,0.71,0.43,36,64.0,High,1
C003943,35-44,Male,West,Returning,Mobile App,35,258.02,10791.29,308,209,0.53,0.83,0.34,28,74.5,High,1
C003944,55+,Female,West,New,Mobile App,2,294.93,688.14,74,9,0.79,0.22,0.41,27,40.5,Low,0
C003945,25-34,Female,West,New,Mobile App,1,185.33,179.42,312,2,0.54,0.31,0.46,62,42.5,High,1
C003946,45-54,Male,South,Loyal,In-Store,35,24.04,1006.49,56,220,0.22,0.05,0.58,56,23.5,Low,0
C003947,45-54,Female,East,Loyal,Mobile App,12,266.58,3126.64,324,82,0.47,0.42,0.45,10,48.5,High,1
C003948,35-44,Male,West,VIP,Online,12,288.54,3939.67,301,51,0.22,0.76,0.13,36,81.5,Medium,1
C003949,55+,Female,North,Returning,Mobile App,1,237.87,229.22,50,2,0.09,0.09,0.22,83,43.5,Low,0
C003950,18-24,Other,Central,VIP,In-Store,1,108.82,99.51,5,6,0.63,0.87,0.76,85,55.5,Low,0
C003951,55+,Other,South,New,In-Store,2,396.88,902.75,14,6,0.3,0.35,0.43,93,46.0,Low,0
C003952,18-24,Male,Central,VIP,Online,35,35.11,1332.55,100,218,0.06,0.33,0.4,38,46.5,Low,0
C003953,45-54,Male,South,VIP,Mobile App,35,390.16,11904.72,360,97,0.44,0.26,0.17,82,54.5,High,1
C003954,25-34,Female,South,Returning,Mobile App,3,82.97,288.6,137,6,0.47,0.27,0.72,41,27.5,Medium,1
C003955,55+,Male,South,Loyal,Online,1,231.6,264.95,190,3,0.25,0.18,0.39,99,39.5,Low,0
C003956,25-34,Other,South,Returning,Mobile App,20,234.58,5446.74,270,147,0.7,0.45,0.78,97,33.5,High,1
C003957,45-54,Male,South,VIP,In-Store,35,315.25,10234.65,166,120,0.73,0.57,0.58,66,49.5,Medium,0
C003958,55+,Other,North,Loyal,Online,12,249.57,3263.85,277,53,0.51,0.79,0.62,18,58.5,High,1
C003959,55+,Male,Central,Returning,Online,60,353.12,19794.38,127,401,0.5,0.65,0.54,47,55.5,Low,0
C003960,35-44,Other,East,Returning,Mobile App,8,57.45,402.73,154,40,0.32,0.53,0.11,97,71.0,Low,0
C003961,55+,Female,South,Loyal,In-Store,3,180.15,497.7,301,7,0.18,0.4,0.64,14,38.0,High,1
C003962,45-54,Female,North,VIP,Mobile App,1,303.23,329.9,345,3,0.39,0.25,0.77,57,24.0,High,1
C003963,45-54,Male,South,VIP,In-Store,2,333.33,739.79,11,12,0.4,0.66,0.71,47,47.5,Low,0
C003964,25-34,Other,North,Loyal,In-Store,5,109.44,479.14,45,20,0.23,0.54,0.54,48,50.0,Low,0
C003965,35-44,Female,Central,New,Online,5,43.92,189.68,58,36,0.44,0.12,0.06,14,53.0,Low,0
C003966,45-54,Other,Central,VIP,Online,5,47.51,234.51,32,17,0.53,0.42,0.05,47,68.5,Low,0
C003967,25-34,Male,Central,VIP,Online,2,241.07,561.68,168,12,0.6,0.29,0.84,93,22.5,Medium,1
C003968,25-34,Female,North,Returning,Mobile App,60,328.76,19188.84,218,334,0.53,0.41,0.6,83,40.5,Medium,0
C003969,55+,Other,West,VIP,Mobile App,2,160.18,304.27,170,4,0.56,0.25,0.27,66,49.0,Medium,0
C003970,18-24,Female,South,Loyal,Online,2,97.54,203.9,246,9,0.29,0.48,0.26,63,61.0,Medium,1
C003971,55+,Other,Central,Returning,Online,8,142.01,1245.61,300,62,0.52,0.64,0.8,14,42.0,High,1
C003972,25-34,Other,North,New,Online,8,219.71,2085.64,86,53,0.73,0.43,0.28,37,57.5,Low,0
C003973,35-44,Other,West,New,Mobile App,35,339.67,10930.57,309,193,0.58,0.56,0.13,43,71.5,High,1
C003974,25-34,Male,South,New,In-Store,20,374.51,7174.8,70,48,0.38,0.25,0.11,74,57.0,Low,0
C003975,55+,Other,West,VIP,Mobile App,8,302.01,2402.07,131,34,0.59,0.73,0.65,67,54.0,Low,0
C003976,55+,Other,Central,VIP,In-Store,60,377.97,24129.82,144,477,0.12,0.28,0.57,98,35.5,Low,0
C003977,25-34,Other,East,Loyal,Online,1,172.73,190.97,213,2,0.28,0.11,0.49,60,31.0,Medium,1
C003978,25-34,Female,Central,New,Online,1,134.33,143.16,130,5,0.73,0.35,0.32,31,51.5,Medium,0
C003979,25-34,Female,North,Loyal,Online,12,130.61,1787.07,217,92,0.75,0.24,0.49,79,37.5,Medium,0
C003980,45-54,Other,North,Loyal,Online,35,187.46,6261.3,194,92,0.68,0.7,0.6,24,55.0,Medium,1
C003981,45-54,Female,North,Returning,Online,5,68.66,299.18,27,12,0.45,0.06,0.41,54,32.5,Low,0
C003982,55+,Male,North,Returning,Mobile App,3,149.71,537.5,138,15,0.48,0.58,0.07,96,75.5,Low,0
C003983,55+,Other,South,Loyal,Mobile App,60,316.74,17227.12,74,227,0.15,0.83,0.21,92,81.0,Low,0
C003984,18-24,Female,North,Returning,In-Store,60,211.76,13102.2,163,262,0.77,0.21,0.29,51,46.0,Low,0
C003985,35-44,Male,Central,New,Mobile App,3,383.06,1172.08,14,12,0.07,0.69,0.69,63,50.0,Low,0
C003986,25-34,Other,North,VIP,In-Store,8,125.7,1191.9,112,27,0.56,0.68,0.29,56,69.5,Low,0
C003987,18-24,Other,South,VIP,Online,1,222.0,213.26,119,5,0.52,0.83,0.48,86,67.5,Low,0
C003988,55+,Male,North,VIP,Online,1,147.1,136.74,48,2,0.38,0.47,0.72,72,37.5,Low,0
C003989,25-34,Male,South,Returning,Online,3,326.2,984.89,52,23,0.24,0.76,0.7,34,53.0,Low,0
C003990,18-24,Female,West,VIP,Mobile App,8,269.42,2397.52,135,41,0.56,0.7,0.61,64,54.5,Medium,0
C003991,25-34,Male,North,New,Online,20,93.13,1692.16,225,155,0.38,0.87,0.67,20,60.0,High,1
C003992,18-24,Female,West,New,Online,5,237.26,1040.96,311,34,0.37,0.11,0.6,13,25.5,High,1
